Job Title,Description,Company,Employer Logo,Employer Website,Job Publisher,Employment Type,Location,Remote,Min Salary,Max Salary,Job Posted,Job Expiration,Job Link
Information Assurance Analyst/ Cyber RMF Analyst,"Ingalls, part of C3 Integrated Solutions

At Ingalls Information Security, we are pioneers in managed security services and incident response. We're committed to harnessing the power of technology to drive innovation, efficiency, and security across our operations and for our customers.

To learn more about the requirements, and understand Ingalls (part of C3) services, please review the following:

https://iinfosec.com/government-programs/

https://iinfosec.com/authorization-to-operate-ato-support/

Information Assurance Analyst/Cyber RMF Analyst

Support a DoD client's Risk Management Framework (RMF) program. Provide technical support and apply expertise in assessing information system compliance with DoD and Air Force (AF) RMF standards. Develop, review, verify, and validate required DoD RMF documentation and artifacts in accordance with DoD Instruction 8510.01, RMF for DoD IT, and the AF RMF Process Guide. Analyze and process the artifacts required to obtain and maintain the Authority to Operate (ATO) for information systems and applications. Perform quality assurance reviews for required content in all packages in the Assessment and Authorization (A&A) process. Support the client in conducting RMF checkpoint and collaboration activities. Perform RMF and FISMA data collection, analysis, reporting, and metrics generation.

What You'll Do
• Determines information assurance and security standard's
• Develops and implements information assurance/security standards and procedures
• Establishes and satisfies information assurance and security requirements based upon the analysis of user, policy, regulatory, and resource demands
• Supports customers at the highest levels in the development and implementation of doctrine and policies
• Applies experience to government and commercial common user systems, as well as to dedicated special purpose systems requiring specialized security features
• Performs analysis, design, and development of security features for system architectures
• Analyzes general information assurance-related technical problems and provides basic engineering and technical support in solving these problems

What You'll Bring
• 2+ years of experience with DoD Cybersecurity, information assurance, or Risk Management Framework (RMF)
• Experience with using RMF tools to process and update Assessment & Authorization (A&A) packages
• Working knowledge of eMASS (Enterprise Mission Assurance Support Service) and Security Technical Implementation Guides (STIGs)
• Knowledge of the National Institute of Standards and Technology (NIST) RMF Special Publications
• Must comply with IAT Level II or IAM Level II
• Ability to pass DoD Tier 1 background check
• DoD Workforce Certification
• Excellent Project Management skills
• Possession of excellent oral and written communication skills
• Outstanding time management skills

Preferred Qualifications
• BS degree in CS, Cybersecurity, Engineering, or a related scientific or technical field
• Understanding of NIST 800-53

What You'll Get
• To be a part of one of the fastest-growing companies in America, and a talented team to back you up.
• An awesome culture, backed up by winning several Best Places to Work awards.
• Remote work opportunities
• Medical, Dental, Vision Insurance
• Four Weeks of Paid Time Off (vacation & sick leave)
• Four weeks of Paid Maternity and Paternity leave
• Two days of Paid Volunteer Time
• 401(k) with Company Match
• Company Bonus Structure
• Tuition Reimbursement
• Employer-sponsored Disability & Life Insurance
• Professional Development

This a remote position with minimal travel.

C3's Core Values
• Team Human: Respecting all humans is a critical part of who we are at C3. We practice integrity in all interactions, we empathize with others, we create a supportive work environment, and we support the communities in which we live and operate.
• Security First: At the cornerstone of our business, we prioritize security above convenience, cost or efficiency. A ""security-first"" approach means we practice what we preach and we lead by example for our clients.
• Be an Advocate: We are passionate in our advocacy for our customer's success and a path to the best solution for their business. We embrace feedback, put ourselves in your shoes and advocate for your interests as our own.
• Embrace Change: It's a practical necessity in an industry that never stands still. As a new entity born from the merger of two top-ranked CMMC-focused IT services companies, we're keenly aware that our success hinges on our ability to adapt - whether that means integrating new platforms, refining processes, or keeping pace with changing guidelines.
• Resilience: Our ability to withstand adversity and accomplish objectives while maintaining professionalism and discipline is critical to successful crisis management and risk avoidance.",C3 Integrated Solutions,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ2jV0rIIJSzkkgSGoAsIu9oR7ZlB3lWLh9SqPE&s=0,http://www.c3isit.com,LinkedIn,FULLTIME,"Bossier City, LA",Yes,,,2024-09-05T02:21:26.000Z,2024-10-05T02:21:26.000Z,https://www.linkedin.com/jobs/view/information-assurance-analyst-cyber-rmf-analyst-at-c3-integrated-solutions-4016871892?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Cyber Recruiter Remote / Telecommute Jobs,"Watch Video from CEO: https://www.loom.com/share/2a5bc775dd2247e3a252819cbecfe09c?sid=a67afbc5-e575-46bb-af6a-f7e0ea984801

At National Cyber Group, we are on a mission to close the cyber talent gap. With over 1 million unfilled cyber security jobs, the need for skilled talent is massive.

Why You Should Consider a Career in Cyber Security:

· High Compensation - Entry level salaries average $75K

· Job Security - Cyber security job growth is 8x the national average

· Social Impact - Help protect companies and countries from cyber threats

As a Cyber Recruiter Representative in our Cyber Leadership Work-Study Program, you will be on the front lines of our mission – outreach to our prospective cybersecurity professionals attend online event while ""earning as you learn."" Our innovative program allows you to enroll in our Cyber Security Analyst training at no cost while being paid to generate and attract prospects to various events.

Position Responsibilities:

Complete 50 outbound calls per day encouraging interested prospects to attend online informational sessions and schedule admissions appointments

Learn and leverage the company's CRM system and other digital tools to engage with prospects and organize your work",National Cyber Group,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRRAI7hTbNxG08JoqyGHOsc7ZVMylue3D03DoMo&s=0,http://www.nationalcyber.com,Clearance Jobs,CONTRACTOR,"No City Provided, No State Provided",Yes,10000,20000,2024-09-12T23:49:21.000Z,2024-11-11T00:00:21.000Z,https://www.clearancejobs.com/jobs/7723662/cyber-recruiter?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Security Analyst (Weekend Overnight),"About The Role

We are looking for an Overnight Security Analyst to join our frontline cybersecurity defense team. As a Security Analyst, you will be responsible for identifying, catching, and preventing email fraud by efficiently handling a high volume of requests and applying policies.

About You
• Detail-oriented and passionate about cybersecurity
• Positive attitude
• Comfortable working in a fast-paced and virtual environment
• Ability to communicate clearly in both verbal and written communication methods
• Active listener

What You Will Do
• Perform operational tasks, such as handling high volume intake queues or labeling machine learning data, in a timely manner
• Propose improvements for processes, workflows, product and policies
• Support investigation efforts across a range of critical issues
• Learn about email fraud attack strategies and patterns to prevent an event from occurring

Must Have
• Ability to work overnight (12am-8am ET) weekends (Sat, Sun) on 3 weekdays, and the weekend totaling 40 hours per week
• Typically requires less than 1 year of related experience
• Typically requires a Bachelor’s degree, or working towards Bachelor's degree
• Proficiency with G Suite (Google) applications
• Familiarity with Zoom

At Abnormal Security certain roles are eligible for a bonus, restricted stock units (RSUs), and benefits. Individual compensation packages are based on factors unique to each candidate, including their skills, experience, qualifications and other job-related reasons. We know that benefits are also an important piece of your total compensation package. Learn more about our Compensation and Equity Philosophy on our Benefits & Perks page.

Base salary range:

$20.19—$20.19 USD",Abnormal Security,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTlzlLxaIZGQd5BZdiMKs8JPkzqCmY99h5wDRjr&s=0,,LinkedIn,FULLTIME,"No City Provided, No State Provided",Yes,,,2024-09-18T09:38:28.000Z,2024-12-05T22:46:25.000Z,https://www.linkedin.com/jobs/view/security-analyst-weekend-overnight-at-abnormal-security-3772685915?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Cybersecurity and Digital Trust (CDT) Associate Data Analyst - Remote,"ATTENTION MILITARY AFFILIATED JOB SEEKERS - Our organization works with partner companies to source qualified talent for their open roles. The following position is available to Veterans, Transitioning Military, National Guard and Reserve Members, Military Spouses, Wounded Warriors, and their Caregivers. If you have the required skill set, education requirements, and experience, please click the submit button and follow the next steps.

Remote CONUS AK HI

Cybersecurity and Digital Trust (CDT) Associate Data Analyst

What you will do

Let's do this. Let's change the world. In this vital role you will act as a member of the Cybersecurity and Digital Trust (CDT) Security Automation, AI, and Analytics (SA3) team responsible for developing, administering, and enhancing Amgen's cybersecurity metrics and analytics platform which collocates Cybersecurity and Digital Trust (CDT) data in a data warehouse on the Enterprise Data Lake (EDL) and structures it in a central repository in preparation for strategic, operational, and tactical reporting for CDT's internal and external stakeholders. The Associate Data Analyst will assist in the on-going development and enhancement of reporting dashboards for CDT's Security Metrics & Analytics program and will support the Security Automation, AI, and Analytics (SA3) manager in monthly reporting processes. Additionally, the Associate Data Analyst will apply their knowledge of data analytics and artificial intelligence (AI) to enhance cybersecurity operations and enhance CDT AI platform. The Associate Data Analyst will support the development, implementation, and ongoing optimization of AI-driven solutions to protect our organization from security threats.

This role will require collaboration with the development team, service owners, system owners, and cross-functional leadership in various time zones.

Responsibilities:

Support on-going Cybersecurity and Digital Trust (CDT) metric reporting processes

Develop unified dashboards displaying strategic, operational, and tactical level views of various metrics using analytics tools such as Tableau, Spotfire, R, etc.

Contribute to the design and development for on-demand reporting solutions to support key stakeholders.

Assist with data discovery for enhancing reports and designing efficient data stores.

Maintain awareness of the changing analytics environment by partnering with Amgen's Analytics team and industry (e.g., AI, machine learning, etc.)

Assist in the creation of predictive models and algorithms using AI/ML technologies to detect anomalous behaviors and potential threats.

Maintain the program's vision and ensure interoperability cost effective and authorized technologies (e.g., cloud environments)

Collaborate cross-functionally with analysts, engineers, data scientists to identify & prioritize requirements, brainstorm solutions, and clarify business objectives for data centric solutions in order to achieve continuous improvement in cyber defense/resilience.

Work with metric owners to provide clear documentation for metrics and processes, integrating documentation with the appropriate stakeholders.

Develop, implement, and sustain operational scripts, data structures, libraries and programming code that optimize security in emergent compute patterns with diverse applications throughout the global environment.

Analyze, design, develop and operate programs, shell scripts, tests, and infrastructure automation capabilities in an advanced security context.

Self-starter with a high degree of initiative

Must have strong communication and organizational skills and customer service focus

Must be highly motivated and able to work effectively under minimal supervision",Veteran Jobs - 2023 Mar 01 - Veterans Resources,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSFkYgE_RSWWIFbaWMgRpL3GWTiwNYVkhIFyn2k&s=0,,ZipRecruiter,FULLTIME,"North Salt Lake, UT",Yes,,,2024-09-24T23:55:00.000Z,2024-10-24T00:00:00.000Z,"https://www.ziprecruiter.com/c/Veteran-Jobs-2023-Mar-01-Veterans-Resources/Job/Cybersecurity-and-Digital-Trust-(CDT)-Associate-Data-Analyst-Remote/-in-North-Salt-Lake,UT?jid=b50e21750634f7c8&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
SOC Analyst | Nights & Weekends Shift USA - EST 12AM - 8AM,"Nights & Weekends Shift USA - Must Work EST (12AM - 8AM) Up to 10% Travel

Department: Security Operations Center

Pay Type: SALARIED EXEMPT

Summary Of Position Role/Responsibilities

Quzara, a Cyber Security Firm at the forefront of defending against cyber threats, is actively seeking a dedicated L1 SOC Analyst for a fully remote role. This position is integral to our Security Operations Center (SOC), focusing on the initial monitoring, analysis, and triage of security events and incidents. The L1 SOC Analyst will utilize advanced security tools and technologies to identify potential security threats and collaborate with senior analysts for deeper investigations. Ideal candidates will have a foundational understanding of cybersecurity principles, technologies, and a keen interest in advancing their career in cybersecurity analysis.

Essential Functions Of The Job
• Monitor security events and alerts utilizing advanced security technologies and tools such as Microsoft Sentinel, Defender technologies, and Log Analytics.
• Assist with the initial identification and triage of potential security threats using threat intelligence.
• Support the response to security incidents, providing initial analysis and escalating to senior analysts as necessary.
• Gain proficiency in KQL Queries to assist in investigations and derive insights from potential security threats.
• Collaborate with other SOC team members to resolve security incidents and enhance the overall security posture.
• Participate in initial incident response efforts under the guidance of senior team members, adhering to NIST guidelines.
• Contribute to the continuous improvement of security operations by identifying trends and anomalies in security events.
• Communicate effectively with team members and stakeholders regarding security incidents and initial findings.
• Show willingness to work in a 24/7 environment, including shifts and on-call rotations.
• Begin to understand the requirements for working in government environments and the associated incident response procedures based on NIST guidelines.
• Start to develop skills in implementing and utilizing Microsoft Sentinel for SIEM and SOAR concepts.
• Learn to use Azure Sentinel for the detection and response to security threats and anomalies.
• Acquire knowledge on techniques utilizing the MITRE ATT&CK framework for incident investigation and basic threat hunting.
• Initiate understanding in conducting basic investigations and identifying suspicious activities through log analysis.

Marginal Functions Of The Job
• Other duties as assigned

Normal Work Schedule

This is a full-time position. Standard business hours are Monday through Friday 8:30 AM to 5:30 PM. If your role falls within our Security Operations Center you will be assigned a specific shift. As a result, your working schedule may require flexibility to cover any shift that falls within a 24/7 cycle, it may also change and rotate, including nights, weekends, and holidays.

Education, Training, And Experience
• 1-3 years of experience in a SOC Analyst role, preferably in a SOC/MXDR or MSSP environment.
• Basic understanding of networking technologies.
• Familiarity with Microsoft security technologies such as Microsoft Sentinel and M365 Defender.
• Initial understanding of security best practices and incident response procedures.
• Exposure to threat intelligence and the importance of its use in security operations.
• Developing proficiency with KQL Queries.
• Effective verbal and written communication skills.
• Strong analytical and problem-solving skills, with a desire to learn and grow within the cybersecurity field.
• Interest in obtaining Microsoft Security certifications such as Azure Security Engineer Associate is encouraged.
• Willingness to work in a 24/7 environment, including flexibility to cover various shifts.
• Motivation to learn and apply techniques utilizing the MITRE ATT&CK framework for basic incident investigation and threat hunting.
• Eagerness to develop skills in scripting languages such as Python, PowerShell, and JavaScript for automation and analysis tasks.
• An understanding of the importance of working in compliance with government environments and NIST guidelines.

EEO Statement

The Company is an Equal Employment Opportunity (EEO) employer and does not discriminate based on race, color, religion, sex, sexual orientation, national origin, age, marital status, disability, veteran's status, or any other basis protected by applicable discrimination laws.",Quzara LLC,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSD_bLH2Wo6yscwipWnA7Pj3LZ1eOpnfCf3YzVx&s=0,,LinkedIn,FULLTIME,"No City Provided, No State Provided",Yes,,,2024-09-19T18:46:55.000Z,2024-10-19T18:46:55.000Z,https://www.linkedin.com/jobs/view/soc-analyst-nights-weekends-shift-usa-est-12am-8am-at-quzara-llc-3973680972?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Information Security Analyst,"Fully remote role.

The Senior Analyst will be responsible for performing Digital Forensic Examinations and Incident Investigations on systems across multiple locations with the client. Reporting to regional management in San Jose, CA the successful candidate will be functionally aligned with the Global Information Security Team ( InfoSec ) reporting to the Sr Director of Information Security. The role is aligned with delivering on Threat & Malware Mitigations: execute processes for remediation, awareness, monitoring and reporting.
• Strong communication skills with all levels of the business on security issues are critical to ensure the company’s information assets are properly protected.
• The client's predominant client platform is Microsoft Windows 10. The ideal candidate will provide expertise in Windows desktop security environments
• This position is highly technical and has an approximate split of 80% daily technical work, and 20% collaboration focus.

Primary Responsibilities:
• The ideal candidate will be responsible for managing information security incident and forensic investigations on all types of information systems
• Work closely with both Operational groups and InfoSec members to promptly Analyze and Recover information systems within the client to a specified service level agreement.
• Act as the interface to other technical and managerial staff and other groups within the client in relation to specific incidents
• Review and apply the strategy, policies, procedures tools and techniques relating to incident response and management activities
• Develop, implement and maintain procedures, and techniques for responding to and managing information security incident activities and their deliverables
• Correctly identify the range of response actions that may be used to mitigate information security incidents
• Ensure that incident management teams remain focused on the resolving incidents and have clear priorities
• Take decisive and timely action in the event of incidents impacting the integrity of information systems
• Develop and maintain organizational capability in incident response and management",TEKsystems,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQPWlqd8U7aq0MjOMrIr8AMTHDRCJSt61nsEwF0&s=0,http://www.teksystems.com,ZipRecruiter,CONTRACTOR,"Tempe, AZ",Yes,,,2021-02-23T21:14:26.000Z,2024-10-18T00:00:00.000Z,"https://www.ziprecruiter.com/c/TEKsystems/Job/Information-Security-Analyst/-in-Tempe,AZ?jid=405dea85b9188826&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic"
2025 University Graduate (U.S.) Cybersecurity Engineer,"Requisition ID: 277413
• Relocation Authorized: National - Single
• Telework Type: Full-Time Office/Project
• Work Location: Various Permanent Bechtel Office Locations
• Salary Range: $80,004 - $96,012 annually (Determined by function, education, experience, and qualifications of the applicant. A 15% salary uplift is provided on top of base salary for positions that are worked in New York City or San Francisco, which is subject to change depending on market conditions.).

Extraordinary Teams Building Inspiring Projects

Since 1898, we have helped customers complete more than 25,000 projects in 160 countries on all seven continents that have created jobs, grown economies, improved the resiliency of the world's infrastructure, increased access to energy, resources, and vital services, and made the world a safer, cleaner place.

Differentiated by the quality of our people and our relentless drive to deliver the most successful outcomes, we align our capabilities to our customers' objectives to create a lasting positive impact. We serve the Infrastructure; Nuclear, Security & Environmental; Energy; Mining & Metals, and the Manufacturing and Technology markets. Our services span from initial planning and investment, through start-up and operations.

Core to Bechtel is our Vision, Values and Commitments . They are what we believe, what customers can expect, and how we deliver. Learn more about our extraordinary teams building inspiring projects in our Impact Report .

Overview

This entry-level position will allow you to perform assignments that will develop professional working knowledge and abilities through the application of applicable codes and standards, as well as engineering calculations and techniques, procedures, and criteria. You will exercise limited, but increasing, judgment in performing your assigned duties using methods prescribed by your supervisor.

Major Responsibilities

Typical Activities of the Cybersecurity Team
• Assist with control system network design development;
• evaluate vendor cybersecurity products and write evaluations results;
• work with NIST-based and other standards to achieve cybersecurity work activities;
• set up and troubleshoot cybersecurity test configurations;
• provide logic and Human Machine Interface programming for cybersecurity testing rigs;
• assist in providing patch management activities for the overall Technical Center;
• provide status of ongoing design and development activities; and
• work on special projects like the ICS Trainer System and the ancillary work activities that support it.

Basic Qualifications

Education and Experience Requirements:
• Bachelor of Science degree in Computer Science, Electrical, Chemical, Mechanical, or Electro-Mech Engineering from an accredited college or university within the past twelve (12) months or upcoming twelve (12) months.
• Ability and willingness to relocate and/or travel to domestic and/or international project jobsites.
• Possess the eligibility to work and remain in the US without visa sponsorship, now or in the future.
• Must be able to pass pre-employment drug screen and background check.

Preferred Qualifications
• Master of Science degree in Computer Science, Electrical, Chemical, Mechanical, or Electro-Mech Engineering from an accredited college or university within the past twelve (12) months or upcoming twelve (12) months.
• Prior co-op or internship experience.
• Completed relevant coursework with a strong GPA.
• Excellent written and oral communication skills.

Total Rewards/Benefits

For decades, Bechtel has worked to inspire the next generation of engineers and beyond! Because our teams face some of the world's toughest challenges, we offer robust benefits to ensure our people thrive. Whether it is advancing careers, delivering programs to enhance our culture, or providing time to recharge, Bechtel has the benefits to build a legacy of sustainable growth. Learn more at bechtel.com/total-rewards.

Diverse Teams Build The Extraordinary

As a global company, Bechtel has long been home to a vibrant multitude of nationalities, cultures, ethnicities, and life experiences. This diversity has made us a more trusted partner, more effective problem solvers and innovators, and a more attractive destination for leading talent.

We are committed to being a company where every colleague feels that they belong-where colleagues feel part of ""One Team,"" respected and rewarded for what they bring, supported in pursuing their goals, invested in our values and purpose, and treated equitably. Click here to learn more about the people who power our legacy.

At Bechtel, our employees enjoy a competitive total rewards package that includes comprehensive medical, dental, and vision plans, along with optional disability and supplemental insurance options, generous paid time off (160 hours annually, accrued 6.16 hours per pay period), nine paid holidays, paid parental leave, discretionary bonuses, and a well-designed 401K plan with matching and profit-sharing components.

Bechtel is an Equal Opportunity Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity and expression, age, national origin, disability, citizenship status (except as authorized by law), protected veteran status, genetic information, and any other characteristic protected by federal, state or local law.

Bechtel employees are required to be vaccinated for COVID-19 or show proof of a negative test result prior to accessing Bechtel sites/facilities to the extent required by applicable law or by customer requirements.",Bechtel Corporation,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSfdIMv-U0TN4_9L6GYoqzM4rgbxVK-SI3azgSY&s=0,http://www.bechtel.com,LinkedIn,FULLTIME,"No City Provided, No State Provided",Yes,,,2024-09-22T09:17:56.000Z,2024-10-31T05:41:32.000Z,https://www.linkedin.com/jobs/view/2025-university-graduate-u-s-cybersecurity-engineer-at-bechtel-corporation-4012776854?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Cyber Security Analyst,"hatch I.T. is partnering with cyDaptiv to find a Cyber Security Analyst. See details below:

About The Role:

cyDaptiv Solutions is seeking a Cyber Security Analyst with experience supporting Federal projects.

About the Company:

cyDaptiv Solutions, Inc. is a firm specializing in Systems Engineering, Cybersecurity Solutions Integration, Risk Management & Compliance, IT Services, and Project Management. cyDaptiv’s Information Technology professionals have significant experience delivering services for enterprise-scale IT systems in a variety of DoD environments. Led by PMP-certified Project Managers, cyDaptiv’s skilled and experienced technology professionals deliver high-impact results in short-term focused engagements and long-term IT service and support delivery in both CONUS and OCONUS locations. We have dynamic teams supporting projects in the US (including Hawaii), Korea, Japan, and Germany

Responsibilities:
• Assist Information System Security Officers (ISSOs) with technical assessments and system analysis following the DOI risk management framework.
• Monitor and report on technical security controls according to the DOI Continuous Monitoring plan and strategy.
• Evaluate, interpret, and integrate new DOI and NIST technical control standards into system boundaries as they are published.
• Provide quality assurance support for Information Systems Security controls.
• Address non-standard technical requests impacting systems or multiple customers within one business day.
• Report Personally Identifiable Information (PII) events related to system boundaries to the DOI Computer Incident Response Center (CIRC) within one hour, following the DOI Privacy Breach Response Plan.
• Ensure processing of vulnerability and compliance scans/reports in line with the Continuous Monitoring plan and strategy.
• Update Risk Management Standard Operating Procedures (SOPs) annually or as needed.

Required Qualifications:
• Minimum 3 years of relevant experience
• Ability to work independently with minimal supervision
• Bachelor’s degree or higher in Computer Science, Information Systems/Technology or engineering discipline preferred.

Security Clearance:
• Willing to undergo federal Background check process",Hatch IT,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSM-xByuSdFr8qiPgNwM4f71a-xY0gClAPug7Op&s=0,,DailyRemote,FULLTIME,"No City Provided, No State Provided",Yes,,,2024-07-27T07:23:04.000Z,2025-03-12T13:38:12.000Z,https://dailyremote.com/remote-job/cyber-security-analyst-3373707?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Security Research / Data Science Entry Level Contract- Remote,"BeyondTrust is a place where you can bring your purpose to life through the work that you do, creating a safer world through our cyber security SaaS portfolio.

Our culture of flexibility, trust, and continual learning means you will be recognized for your growth, and for the impact you make on our success. You will be surrounded by people who challenge, support, and inspire you to be the best version of yourself.

The Role

The BeyondTrust Security Research and Data Science team leads the development of our new identity security product (Insights), and the application of AI and ML at this company.

We're looking for people with demonstrable security expertise for a 90 day learn on the Job contract which may lead to a full time job offer. No professional security experience, education, or certification of any kind is required: only a portfolio you can submit to shows us what you can do.

Three full time remote contractors will be selected to start as a group in September 2024. The team will work building out detections, posture recommendations, and useful security insights and visibility for our customers, using our databricks-powered security lakehouse, python and sql. Contractors will be paid an entry-level hourly wage. They'll interact most with each other and the researcher running the program but will have opportunities to learn from more senior team members -- including data scientists, red teamers, incident responders and defenders from high end companies around the industry.

We're hoping to find self-sufficient, resourceful candidates who have taught themselves security work in one way or another, and who need an opportunity to move into the industry formally. Candidates will be evaluated almost entirely based on their portfolio. We don't care where you've worked or where you want to school -- show us what you can do

About Us

A resume is NOT REQUIRED for your application

BeyondTrust is the worldwide leader in intelligent identity and access security, enabling organizations to protect identities, stop threats, and deliver dynamic access. We are leading the charge in innovating identity-first security and are trusted by 20,000 customers, including 75 of the Fortune 100, plus a global ecosystem of partners.

Learn more at www.beyondtrust.com.",BeyondTrust,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS_eaUw7-h_Ub1qi3b4NM93LLDggQZs2hp67V73&s=0,http://www.beyondtrust.com,LinkedIn,FULLTIME,"No City Provided, No State Provided",Yes,,,2024-09-07T09:22:25.000Z,2024-10-15T23:59:10.000Z,https://www.linkedin.com/jobs/view/security-research-data-science-entry-level-contract-remote-at-beyondtrust-4003182187?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
Incident Responder/ Soc Solution Consultant (Delivery Center - Remote),"Inclusively is partnering with one of the largest professional services networks to hire a Incident Responder/ Soc Solution Consultant (Delivery Center - Remote).
ABOUT INCLUSIVELY:
Inclusively is a digital tech platform that connects candidates with disabilities, who may benefit from workplace accommodations, to inclusive employers. This includes all disabilities under the ADA, including mental health conditions (e.g. anxiety, depression, PTSD), chronic illnesses (e.g. diabetes, Long COVID), and neurodivergence (e.g. autism, ADHD). Applicants with one or more of these conditions are encouraged to apply; Inclusively does not require applicants to disclose their specific disability.
The wage range for this role takes into account the wide range of factors that are considered in making compensation decisions including but not limited to skill sets; experience and training; licensure and certifications; and other business and organizational needs. The disclosed range estimate has not been adjusted for the applicable geographic differential associated with the location at which the position may be filled. It is not typical for an individual to be hired at or near the top of the range for their role and compensation decisions are dependent on the facts and circumstances of each case. A reasonable estimate of the current range is $62,000 to $110,000. You may also be eligible to participate in a discretionary annual incentive program, subject to the rules governing the program, whereby an award, if any, depends on various factors, including, without limitation, individual and organizational performance.
Work you’ll do

Enhance cyber awareness with clients and project teams.
Work alongside federal clients to help them mitigate risk with the use of continuous monitoring and incident response.
Establish security controls to ensure protection of client systems.
Implement cutting edge security tools for our federal clients.

Qualifications
Required Qualifications

Bachelor's degree required.
1+ yrs. experience with the following:
Working Knowledge of Common adversary tactics, techniques, and procedures (TTPs).
Working knowledge of network infrastructure and communication protocols
Experience with basic scripting languages including python, PowerShell, bash, etc.
Familiarity with SIEM log analysis and obtaining logs through applicable query languages (Splunk, McAfee, Q-Radar, Sentinel, Etc.)
Familiarity with performing process and binary analysis through a Commercial EDR solution (Crowdstrike, Carbon Black, Tanium, etc).
Knowledge of enterprise detection technologies
Excellent written and verbal communication skills + Excellent organization, time management, and attention to detail
Must be legally authorized to work in the United States without the need for employer sponsorship, now or at any time in the future
Must be able to obtain and maintain the required clearance for this role
Travel up to 15% annually

Preferred Qualifications

1-3 years of technical Cybersecurity Experience
In pursuit of (1) entry level cyber security focused certification from industry recognized Certification Provider (GSEC, Sec+, CND,CCNA-Sec, Etc.)

Job Type: Full-time
Pay: $62,000.00 - $110,000.00 per year
Experience level:

1 year
2 years
3 years

Schedule:

Monday to Friday

Work Location: Remote",Inclusively,,http://goligilo.com,LazyApply,FULLTIME,"No City Provided, No State Provided",Yes,62000,110000,2023-11-17T15:42:44.000Z,,https://lazyapply.com/jobpreview/job_4a1a195249efaf0c?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic
